"id_filial";"descricao_filial";"pedido_nulo";"total";"status_6";"status_8";"carrinho"
"8e83e360-4cbe-477f-97da-3472c5eb63fe";Eletro Mateus Maiobão;921;1087;118;12;921
"8f41aa43-b781-45bd-91c3-84abfcc7bf2b";Mix Mateus Abaetetuba;465;465;0;1;464
"911b326e-89b3-4e39-a5e0-e6fd89e6040a";Mix Mateus Petrolina;7475;10860;2911;122;7474
"916e640b-69c7-4db8-94d2-87e2f1e9e5a6";Eletro Mateus Pátio Norte Shopping;694;865;114;11;694
"922a5e84-8c0f-4be6-982b-132ddf097adb";Supermercado Mateus Barcarena;2970;5274;2017;57;2968
"92e71095-e30a-47b7-a80c-4fbf8994bdd8";Supermercado Camiño Rondon;20;20;0;0;20
"93b414d7-c9bf-42cb-ba55-ea289e24b7a7";Eletro Mateus Av. Tancredo Neves;127;139;6;1;127
"94b6919b-dcc5-40ca-bf6b-a6212b06aa32";Eletro Mateus Ulianópolis;221;318;66;5;221
"956c158c-5830-494d-abdc-b8e1104974dc";Eletro Mateus Batista Campos;112;138;10;0;112
"9659e61b-311f-4aa9-9300-616e5bd19bef";Monte Castelo;19;19;0;0;19
"966edfff-4c07-4d7c-a73b-38dfca4e224e";Supermercado Mateus Calhau;24982;44462;18587;406;24954
"97a3ef25-367c-4e44-8d23-9bf4c3aac210";Mix Mais Teixeira de Freitas;71;81;5;2;71
"9a58c075-cbaa-49bf-b2a5-8559397e6649";Supermercado Camiño Carolina;36;36;0;0;36
"9a7e73d5-3e4d-42a6-acc7-86bb696f80c5";Supermercado Mateus Pátio Norte Shopping;68;68;0;0;68
"9ab6da7f-aa4d-4598-95b2-885c6657cfb7";Mix Mateus Marabá;15331;23433;7083;351;15327
"9c343aed-913f-463b-80a1-1975a720971f";Boteco Gelado Petrolina;567;943;306;19;567
"9c6900e7-3ed5-4789-badb-da9095f4ddd5";Eletro Mateus Pinheiro;762;886;75;3;762
"9cae091f-8c8b-48fc-97a0-6678e221db2e";Eletro Mateus Getúlio Vargas;624;802;125;13;624
a1941a5f-636e-46e3-b860-5618b65c68c0;Supermercado Camiño Dom Eliseu;14;14;0;0;14
a1a1c7da-aad9-4bbb-9127-51421941c539;Supermercado Camiño Viana;59;59;0;0;59
a360672a-72a0-4bbd-9406-393f76572ec1;Supermercado Camiño São José de Ribamar;53;53;0;0;53
a38d9f27-6df8-4671-a82a-c2d942025f92;Mix Mateus Parque Alvorada - Atacado;1057;1343;256;6;1056
a39cf486-cdda-4b42-b6f7-48d486a62a21;Eletro Mateus Cidade Nova;195;232;24;3;195
a3a7acdf-a573-4e08-a531-4bbf3bbc406f;Eletro Mateus Chapadinha;475;563;53;2;474
a47e08c4-54bf-412c-b7f6-ab902132365f;Boteco Gelado Forquilha;8371;11294;2199;214;8365
a5a0ae4a-c0c1-426a-9f0b-719f02b7a2d0;Mix Mais Serraria;77;85;3;2;77
a7a26910-2d3a-43d6-a4af-65bec6e282d5;Eletro Mateus Grande Marabá;273;313;24;3;273
a7c71d6e-8c21-4446-bd62-afd9373d05c1;Camiño Barreirinhas - Centro;1896;4139;1898;101;1894
a86e4cc3-abf1-4fd3-86d4-8fc73974c9e8;Eletro Mateus Cajazeiras;1158;1361;136;10;1157
aaf3c5a7-029e-4f51-8ac0-c4e57d7b737c;Camiño Barreirinhas - Tapuio/Cantinho;2;2;0;0;2
ab11c5c7-52c3-45b5-ac34-4b438b6b9d3e;Mix Mateus Chapadinha;95;95;0;0;95
ab42ea9d-2a14-4d5e-8b13-884b4fbcef45;Eletro Mateus Alvorada;480;575;68;9;479
abd1264b-f5cd-4ebe-8358-206e878f5a1d;Eletro Supermercado Cidade Operária;665;777;64;12;665
ac12cf91-3910-4fd9-ab02-ac1c34fc0104;Eletro Mateus Goianésia;63;87;18;3;63
ac2e05a7-538d-4e6e-ae8c-48efc401ba91;Spazio Hiper Renascença;4148;4298;114;34;4129
ad7e264c-68ba-44a0-a38c-5bf012e8d244;Supermercado Camiño Rosário;24;24;0;0;24
ae3298d2-c42c-4aa9-a24a-469f01ee9f8d;Centro de Distribuição - 82 / Eletro;149;149;0;0;149
aee51acb-db47-4f96-95c7-eedee1e6089f;Boteco Gelado Parque Piauí;1;1;0;0;1
af1379b2-bc5c-4d4e-9d6c-576941d03f5a;Mix Mateus Açailândia;108;108;0;0;108
b01472ea-c8bb-4968-9062-d4dd320ed7ab;Eletro Mateus Velha Marabá;63;68;4;0;63
b1303101-b0d6-4eda-81c7-08facd5558fe;Loja Virtual Parque Piauí;11;11;0;0;11
b1fc893f-b62b-4e05-a7dd-8642f0be23a2;Mix Mateus Vinhais - Atacado;6905;9620;2326;84;6901
